response_id,org_name,q3_individual_1,q3_several_1,q3_several_2,q3_several_3,q3_several_4,q3_several_5,q3_several_6,multi_org
R_7xWr7okBDl0YRkT,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
R_5ndDsF01WsfNE8X,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_7rNRby3U2gykZ3m,University of Alaska Fairbanks,University of Alaska Fairbanks,NA,NA,NA,NA,NA,NA,NA
R_5dLYySNPGDpX0fo,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
R_7417rkzwocKka1y,WSP,NA,WSP,Reef Check,NA,NA,NA,NA,"WSP,Reef Check"
R_4IJ9UMOGSUESQqB,Reef Check,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA,"Reef Check,Watermen's Alliance"
R_3ruJtqqgLFhsPQJ,Reef Check,NA,Reef Check,Monterey Bay Aquarium,Giant Giant Kelp Restoration Project,NA,NA,NA,"Reef Check,Monterey Bay Aquarium,Giant Giant Kelp Restoration Project"
R_4lAn2i4p11JNjBL,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_5i7YPwDuFEqceK9,Reef Check,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA,"Reef Check,Watermen's Alliance"
R_56yWtIgrU0bJwpX,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_70XAbTfFsJfV3ix,Moss Landing Marine Laboratories,NA,Moss Landing Marine Laboratories,Monterey Bay Seaweeds,California Kelp Restoration Team (CalKResT),NA,NA,NA,"Moss Landing Marine Laboratories,Monterey Bay Seaweeds,California Kelp Restoration Team (CalKResT)"
R_799UQY4Dr0HQUdQ,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_1D1UUWekEx5DdPJ,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_5crCJOcIX1ZVu5X,University of California San Diego - Scripps Institution of Oceanography,University of California San Diego - Scripps Institution of Oceanography,NA,NA,NA,NA,NA,NA,NA
R_61dpMIWMs89lZLY,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_60pBzuWFTFwPVKI,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_6MY7AcdWIwKItCE,Watermen's Alliance,Watermen's Alliance,NA,NA,NA,NA,NA,NA,NA
R_3ocCcrb6NY9Nk5I,NOAA Monterey Bay National Marine Sanctuary,NA,NOAA Monterey Bay National Marine Sanctuary,University of California Santa Cruz,NA,NA,NA,NA,"NOAA Monterey Bay National Marine Sanctuary,University of California Santa Cruz"
R_1ulIyefXrmNqx1f,California Sea Grant,California Sea Grant,NA,NA,NA,NA,NA,NA,NA
R_1eDbXLR4l7rE6wZ,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_1PTOVqgZmThkEyB,California State Polytechnic University Humboldt,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA,NA
R_114CKH20kM3vmaH,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_1AGjFLTVbTA4HTj,University of California Santa Cruz,NA,University of California Santa Cruz,The Nature Conservancy,California Department of Fish and Wildlife,NA,NA,NA,"University of California Santa Cruz,The Nature Conservancy,California Department of Fish and Wildlife"
R_6aqSOPIVqzbD1KW,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_77kXWTJkzmxmT1g,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_50v3Pt1UGJw51HP,Moss Landing Marine Laboratories,NA,Moss Landing Marine Laboratories,The Nature Conservancy,California Sea Grant,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Monterey Abalone Company,NA,"Moss Landing Marine Laboratories,The Nature Conservancy,California Sea Grant,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Monterey Abalone Company"
R_5pzEeA0Y9QJuUVY,University of California Davis - Bodega Marine Laboratory,University of California Davis - Bodega Marine Laboratory,NA,NA,NA,NA,NA,NA,NA
R_6im62S1XTpJTN75,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_6aIROXxP5g9ceLh,Inter Tribal Sinkyone Wilderness Council,NA,Inter Tribal Sinkyone Wilderness Council,Sherwood Valley Band of Pomo Indians,Noyo Reservation,NA,NA,NA,"Inter Tribal Sinkyone Wilderness Council,Sherwood Valley Band of Pomo Indians,Noyo Reservation"
R_5CCP2mCIlBo5erq,California State Polytechnic University Pomona,NA,California State Polytechnic University Pomona,Occidental College - Vantuna Research Group,Southern California Marine Institute,NA,NA,NA,"California State Polytechnic University Pomona,Occidental College - Vantuna Research Group,Southern California Marine Institute"
R_5PVz3pKxk7VhOlb,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_51QOureZvOe4yuD,Moss Landing Marine Laboratories - Sunflower Star Laboratory,NA,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Reef Check,Association of Zoos and Aquariums - SAFE Sunflower Sea Star,NA,NA,NA,"Moss Landing Marine Laboratories - Sunflower Star Laboratory,Reef Check,Association of Zoos and Aquariums - SAFE Sunflower Sea Star"
R_1lrsTNY3DPjk1VL,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_5iDbDmAusc7eB69,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_3bJaYOcvz8vl2Jr,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
R_7PdJnlqS6NLYWwf,Monterey Abalone Company,Monterey Abalone Company,NA,NA,NA,NA,NA,NA,NA
R_7hfycjL7FiiE7JL,Southern California Coastal Water Research Project,Southern California Coastal Water Research Project,NA,NA,NA,NA,NA,NA,NA
R_1alPAkiq0nTZhyg,"University of Washington, Friday Harbor Labs","University of Washington, Friday Harbor Labs",NA,NA,NA,NA,NA,NA,NA
R_3bryolJxRx4lxfP,Reef Check,NA,Reef Check,Bamboo Reef Scuba Diving Centers - Triton Spearfishing,Individual: Commercial or Recreational Fishing,NA,NA,NA,"Reef Check,Bamboo Reef Scuba Diving Centers - Triton Spearfishing,Individual: Commercial or Recreational Fishing"
R_6fiFlBSwa4Khjkl,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_1Vl14FLQMPu68tc,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_6U4QGgoI5tIAT6r,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_20uTnIwAQ3UxMrw,Urchinomics,Urchinomics,NA,NA,NA,NA,NA,NA,NA
R_5ZOQp4wydkntvjP,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
R_1kGTi1GqQ0cAh7l,Giant Giant Kelp Restoration Project,NA,Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory,NA,NA,NA,NA,"Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory"
R_6Xyvl60kUELNc89,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_59ddlusvPUaiVK9,Monterey Bay Aquarium,Monterey Bay Aquarium,NA,NA,NA,NA,NA,NA,NA
R_7uHWBgcPD0hY0pj,California Ocean Protection Council,California Ocean Protection Council,NA,NA,NA,NA,NA,NA,NA
R_5lJgLlTPSdgHFwm,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_5hm2WjZi0py0QMx,Elkhorn Slough National Estuarine Research Reserve,Elkhorn Slough National Estuarine Research Reserve,NA,NA,NA,NA,NA,NA,NA
R_3l5cUrzniBaWlIs,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_6GbV3QDZn2JJCiR,Coastal Conservation Association - California Chapter,NA,Coastal Conservation Association - California Chapter,Fish Reef Project,Wave Walker Charters,NA,NA,NA,"Coastal Conservation Association - California Chapter,Fish Reef Project,Wave Walker Charters"
R_3flkUGJgvtVI8pR,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_3KxOe3DfFTAjUg0,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_7dQ9uX1Ovk6Kwdf,Channel Islands National Park,Channel Islands National Park,NA,NA,NA,NA,NA,NA,NA
R_6D5kmxtODIPb1hT,University of California Santa Cruz,University of California Santa Cruz,NA,NA,NA,NA,NA,NA,NA
R_7wync7TWV8fWjtH,Greater Farallones Association,NA,Greater Farallones Association,Greater Farallones National Marine Sanctuary,NA,NA,NA,NA,"Greater Farallones Association,Greater Farallones National Marine Sanctuary"
R_3XLt3StxxpmyZDX,The Nature Conservancy,The Nature Conservancy,NA,NA,NA,NA,NA,NA,NA
R_6LPMdMvKD0V81Db,Amah Mutsun Land Trust,Amah Mutsun Land Trust,NA,NA,NA,NA,NA,NA,NA
R_5wNdsmuPRtT41S9,University of California Santa Cruz,University of California Santa Cruz,NA,NA,NA,NA,NA,NA,NA
R_3RSD7GUxRnXMGbL,California State Polytechnic University Humboldt,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA,NA
R_6pLfTLK8bUMafTx,University of California Santa Cruz,University of California Santa Cruz,NA,NA,NA,NA,NA,NA,NA
R_6K6AN5Nv07MJGNm,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_6n7oRh23eSQ96OT,Birch Aquarium at Scripps Institution of Oceanography,Birch Aquarium at Scripps Institution of Oceanography,NA,NA,NA,NA,NA,NA,NA
R_7DeczPHJmSjx6Tj,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_61tuTrD0UVuOyWp,Sonoma County Water Agency,Sonoma County Water Agency,NA,NA,NA,NA,NA,NA,NA
R_1NqY8R9wV0B745S,Strategic Earth Consulting,Strategic Earth Consulting,NA,NA,NA,NA,NA,NA,NA
R_3Hqxere4rGNArPa,California Ocean Science Trust,NA,California Ocean Science Trust,California Ocean Protection Council,NA,NA,NA,NA,"California Ocean Science Trust,California Ocean Protection Council"
R_10If5FdurUsnvaA,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_3V7Q2T5Rvt15jcF,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_3LAy2UOHpyyRYj0,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_3QKhfIUrJDCP4N5,Greater Farallones Association,NA,Greater Farallones Association,"Greater Farallones National Marine Sanctuary, Cordell Bank National Marine Sanctuary",NA,NA,NA,NA,"Greater Farallones Association,Greater Farallones National Marine Sanctuary, Cordell Bank National Marine Sanctuary"
R_3scU0AWn3hB4pkn,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_3BzLfwVeBMOHjEr,University of Oregon,University of Oregon,NA,NA,NA,NA,NA,NA,NA
R_50sTP7MIe3Y7drH,University of Wisconsin Milwaukee,University of Wisconsin Milwaukee,NA,NA,NA,NA,NA,NA,NA
R_6dMTDBMlEwjuhuO,US Fish and Wildlife Service,US Fish and Wildlife Service,NA,NA,NA,NA,NA,NA,NA
R_6u3YTDhcZ4dOrtv,California Sea Grant,NA,California Sea Grant,California Ocean Protection Council,California Department of Fish and Wildlife,NA,NA,NA,"California Sea Grant,California Ocean Protection Council,California Department of Fish and Wildlife"
R_6VIvis1oYCTIQom,University of California Berkeley,NA,University of California Berkeley,Kashia Band of Pomo Indians,NA,NA,NA,NA,"University of California Berkeley,Kashia Band of Pomo Indians"
R_5R8mhuPcpBgJCfg,Giant Giant Kelp Restoration Project,NA,Giant Giant Kelp Restoration Project,The Nature Conservancy,NA,NA,NA,NA,"Giant Giant Kelp Restoration Project,The Nature Conservancy"
R_5dMGo8yjNaUViDk,California Sea Urchin Commission,California Sea Urchin Commission,NA,NA,NA,NA,NA,NA,NA
R_3Vl6LBqVu3BbKfR,The Nature Conservancy,The Nature Conservancy,NA,NA,NA,NA,NA,NA,NA
R_1OwaKPJzCpBm5QR,California State Polytechnic University Humboldt,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA,NA
R_7oHQgfbxkVtFRfP,City College of San Francisco,City College of San Francisco,NA,NA,NA,NA,NA,NA,NA
R_1giJDgseUTPJq9R,Comunidad y Biodiversidad,Comunidad y Biodiversidad,NA,NA,NA,NA,NA,NA,NA
R_5vldi5R3qII19F6,California Sea Grant,NA,California Sea Grant,University of California San Diego - Scripps Institution of Oceanography,NA,NA,NA,NA,"California Sea Grant,University of California San Diego - Scripps Institution of Oceanography"
R_1F990DdwF6i05R7,NOAA Channel Islands National Marine Sanctuary,NA,NOAA Channel Islands National Marine Sanctuary,NA,California Marine Sanctuary Foundation,NA,NA,NA,"NOAA Channel Islands National Marine Sanctuary,California Marine Sanctuary Foundation"
R_7OdkuIOsnSx3lGH,University of California Merced,University of California Merced,NA,NA,NA,NA,NA,NA,NA
R_6mLbnsU7eGt3zQ7,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_3P6kxzidTnvjaEb,Ocean Science Trust,Ocean Science Trust,NA,NA,NA,NA,NA,NA,NA
R_50f07NmTN6tehhY,University of California Davis,NA,University of California Davis,Stillwater Cove urchin divers,NA,NA,NA,NA,"University of California Davis,Stillwater Cove urchin divers"
R_56D6mBrAXbvzaBX,Sonoma State University,NA,Sonoma State University,The Nature Conservancy,California Sea Grant,Individual: Photographer,NA,NA,"Sonoma State University,The Nature Conservancy,California Sea Grant,Individual: Photographer"
R_1QxOFb6rcRAJfNj,San Diego State University,NA,San Diego State University,Moss Landing Marine Laboratories,University of California Davis - Bodega Marine Laboratory,NA,NA,NA,"San Diego State University,Moss Landing Marine Laboratories,University of California Davis - Bodega Marine Laboratory"
R_26wgmjAkC5Gh4v7,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_1qyBCaqZoD5UZnT,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_6qCLsUIEahCGBGw,University of California Berkeley,NA,University of California Berkeley,NA,NA,NA,NA,NA,University of California Berkeley
R_3at4LH8iRw4FZmh,California Sea Urchin Commission,NA,California Sea Urchin Commission,Kelp Restoration and Management Plan Community Working Group,NA,NA,NA,NA,"California Sea Urchin Commission,Kelp Restoration and Management Plan Community Working Group"
R_2dQR46HIbPVukL1,University of California Santa Cruz,University of California Santa Cruz,NA,NA,NA,NA,NA,NA,NA
R_3jTauwChLV63T1f,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_6LMd7dTdf6Rfhim,Individual: Commercial Fishing,NA,Individual: Commercial Fishing,The Good Captain Co.,NA,NA,NA,NA,"Individual: Commercial Fishing,The Good Captain Co."
R_5KVEL7W5XC2QiSl,California Ocean Science Trust,California Ocean Science Trust,NA,NA,NA,NA,NA,NA,NA
R_3QfvHYy3RtQ0Y3p,Kashia Band of Pomo Indians,NA,Kashia Band of Pomo Indians,Greater Farallones National Marine Sanctuary,NA,NA,NA,NA,"Kashia Band of Pomo Indians,Greater Farallones National Marine Sanctuary"
R_1oSFZfE9boXZM7N,Universidad Autónoma de Baja California,Universidad Autónoma de Baja California,NA,NA,NA,NA,NA,NA,NA
R_7GVc2EVkNJq5OuE,University of California Berkeley,NA,University of California Berkeley,University of California Davis,California Department of Fish and Wildlife,NA,NA,NA,"University of California Berkeley,University of California Davis,California Department of Fish and Wildlife"
R_3UWJ3j85Z8A7G8N,Blue Frontier,Blue Frontier,NA,NA,NA,NA,NA,NA,NA
R_6LhAP9pWdy7X4uu,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_1PjehnKerfCz2KZ,Universidad Autónoma de Baja California - Facultad de Ciencias Marinas,NA,Universidad Autónoma de Baja California - Facultad de Ciencias Marinas,Management of Ecosystems Across the Californias (MexCal),NA,NA,NA,NA,"Universidad Autónoma de Baja California - Facultad de Ciencias Marinas,Management of Ecosystems Across the Californias (MexCal)"
R_1RslAiObZtxlSCr,Giant Giant Kelp Restoration Project,NA,Giant Giant Kelp Restoration Project,Reef Check,NA,NA,NA,NA,"Giant Giant Kelp Restoration Project,Reef Check"
R_5p0hFxU61rtshee,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_3CCIZ5j7PiHSIsp,Moss Landing Marine Laboratories,NA,Moss Landing Marine Laboratories,Giant Giant Kelp Restoration Project,Reef Check,Monterey Bay Aquarium,NA,NA,"Moss Landing Marine Laboratories,Giant Giant Kelp Restoration Project,Reef Check,Monterey Bay Aquarium"
R_7VknEEFPyRdBvEg,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_5DbUjzy5UEB6Bmv,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_1A45wn3R1qfgQo1,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_5mmNcOYdXJg1gvT,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_5OluY6cgVytnMXy,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_5e9yFfoNEJDCk8C,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_3sUgRaVeknwNZJv,Monterey Bay National Marine Sanctuary,Monterey Bay National Marine Sanctuary,NA,NA,NA,NA,NA,NA,NA
R_32M5YMKXGATu4et,Giant Giant Kelp Restoration Project,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA,NA
R_6tLmKtUmSAbqmXf,University of California,University of California,NA,NA,NA,NA,NA,NA,NA
R_1hLpjMQHkCV2pzd,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_3CZAdSFoHc2B3js,Earth Equity,Earth Equity,NA,NA,NA,NA,NA,NA,NA
R_6VQ22vWOFCNeq6T,California Sea Grant,NA,California Sea Grant,Moss Landing Marine Laboratories,NA,NA,NA,NA,"California Sea Grant,Moss Landing Marine Laboratories"
R_5Svq728nosQBgtE,Kashia Band of Pomo Indians,Kashia Band of Pomo Indians,NA,NA,NA,NA,NA,NA,NA
R_3Tr6wGXEFxtkXGF,Monterey Bay Fisheries Trust,Monterey Bay Fisheries Trust,NA,NA,NA,NA,NA,NA,NA
R_6l4R7aWAfyJhiNk,Moss Landing Marine Laboratories,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA,NA
R_7qWLYQ3hJQWD88o,California Sea Urchin Commission,California Sea Urchin Commission,NA,NA,NA,NA,NA,NA,NA
R_1DIA6BHO7pKYU8x,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_5dGJi242F31TvPK,University of California San Diego - Scripps Institution of Oceanography,NA,University of California San Diego - Scripps Institution of Oceanography,University of California San Diego - Scripps Institution of Oceanography - Birch Aquarium,California Sea Grant,Seatrees,NA,NA,"University of California San Diego - Scripps Institution of Oceanography,University of California San Diego - Scripps Institution of Oceanography - Birch Aquarium,California Sea Grant,Seatrees"
R_5Kp9TGl2DgbTLBD,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_5J96mgzzSF0Ec4h,The Nature Conservancy,The Nature Conservancy,NA,NA,NA,NA,NA,NA,NA
R_7TCeiJcmXqj5D3j,Greater Farallones Association,NA,Greater Farallones Association,"Greater Farallones National Marine Sanctuary, Cordell Bank National Marine Sanctuary",National Oceanic and Atmospheric Administration - Office of National Marine Sanctuaries - West Coast Region,NA,NA,NA,"Greater Farallones Association,Greater Farallones National Marine Sanctuary, Cordell Bank National Marine Sanctuary,National Oceanic and Atmospheric Administration - Office of National Marine Sanctuaries - West Coast Region"
R_37vKJWxcl9TGyAh,University of California Davis,University of California Davis,NA,NA,NA,NA,NA,NA,NA
R_5DV0tqtY9F6iwNf,"Vantuna Research Group, Occidental College",NA,"Vantuna Research Group, Occidental College",Southern California Marine Institute,NA,NA,NA,NA,"Vantuna Research Group, Occidental College,Southern California Marine Institute"
R_3H4Mz7SlkUD54nD,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_3uL30uYfPe5PaMU,Tribal Government,Tribal Government,NA,NA,NA,NA,NA,NA,NA
R_1qyNTuTpApbsKrv,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_7zc4m6dh9wc0YdK,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_6bHxeA4QGNrYNLX,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_7JEJi8H3q09y2t3,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_5EEryN11xzuu0Bn,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_1IYppFunOMXt4tI,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_1DPqpawnjiLhfkl,Individual,Individual,NA,NA,NA,NA,NA,NA,NA
R_3REDy37W41gd9F7,Noyo Harbor,NA,Noyo Harbor,Individual: Commercial or Recreational Fishing,NA,NA,NA,NA,"Noyo Harbor,Individual: Commercial or Recreational Fishing"
R_1MEiTDdy7UTusoz,University of California Santa Barbara- MPA,NA,University of California Santa Barbara- MPA,California Ocean Protection Council,The Nature Conservancy,California Sea Grant,Kelp Forest Alliance,NA,"University of California Santa Barbara- MPA,California Ocean Protection Council,The Nature Conservancy,California Sea Grant,Kelp Forest Alliance"
R_5dnbJSY7qhuMdsB,University of California Santa Barbara- MPA,University of California Santa Barbara- MPA,NA,NA,NA,NA,NA,NA,NA
